Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ch1_d1_a6e59a8b	centered	Chapter 1 - Day 1\n Tuesday 29th August 3056	game/script/main_story/chapter_1/ch1_d1.rpy	4	centered "[what]"
ch1_d1_d4c54c50		My first day back at school.	game/script/main_story/chapter_1/ch1_d1.rpy	8	"[what]"
ch1_d1_a5e8d1c4		I take a deep breath.	game/script/main_story/chapter_1/ch1_d1.rpy	11	"[what]"
ch1_d1_76f74f68	mc	Phew, I made it...	game/script/main_story/chapter_1/ch1_d1.rpy	13	mc "[what]"
ch1_d1_fba72163		Some people would call me strange, but I like school!	game/script/main_story/chapter_1/ch1_d1.rpy	15	"[what]"
ch1_d1_cfb45398		However, after being away for a few weeks, my body clock freaked out... so I ended up almost being late.	game/script/main_story/chapter_1/ch1_d1.rpy	16	"[what]"
ch1_d1_e7d8442a	mc	Right, let's do this!	game/script/main_story/chapter_1/ch1_d1.rpy	18	mc "[what]"
ch1_d1_48c79872		I enter the classroom.	game/script/main_story/chapter_1/ch1_d1.rpy	24	"[what]"
ch1_d1_b6e91930		It's already mostly full. I didn't realise I was that late...	game/script/main_story/chapter_1/ch1_d1.rpy	25	"[what]"
ch1_d1_990a542c		The teacher isn't here, at least.	game/script/main_story/chapter_1/ch1_d1.rpy	26	"[what]"
ch1_d1_47bd7969		I take my seat and wait patiently.	game/script/main_story/chapter_1/ch1_d1.rpy	27	"[what]"
ch1_d1_b990294a		After a few minutes, she arrives.	game/script/main_story/chapter_1/ch1_d1.rpy	28	"[what]"
ch1_d1_1261c62c	jen	Okay, everyone, settle down!	game/script/main_story/chapter_1/ch1_d1.rpy	32	jen "[what]"
ch1_d1_4318d191		The class begins to quieten with her entry.	game/script/main_story/chapter_1/ch1_d1.rpy	34	"[what]"
ch1_d1_09f32eb1	jen	Welcome back to school, everyone! Let's make this an exciting year!	game/script/main_story/chapter_1/ch1_d1.rpy	36	jen "[what]"
ch1_d1_edd2c734	jen	I also have some news for you all.	game/script/main_story/chapter_1/ch1_d1.rpy	37	jen "[what]"
ch1_d1_345bd1a4		Huh, news...?	game/script/main_story/chapter_1/ch1_d1.rpy	39	"[what]"
ch1_d1_46c2f9ed		I wonder what it could be...	game/script/main_story/chapter_1/ch1_d1.rpy	40	"[what]"
ch1_d1_d654bf17	jen	You can come in now.	game/script/main_story/chapter_1/ch1_d1.rpy	42	jen "[what]"
ch1_d1_55b8c985		A moment of silence, before...	game/script/main_story/chapter_1/ch1_d1.rpy	44	"[what]"
ch1_d1_48a7cc86		...an unfamiliar girl enters the classroom.	game/script/main_story/chapter_1/ch1_d1.rpy	47	"[what]"
ch1_d1_6128c5fd		My heart skips a beat.	game/script/main_story/chapter_1/ch1_d1.rpy	48	"[what]"
ch1_d1_a8b0392c	jen	Everyone, we have a new addition to the class, starting today.	game/script/main_story/chapter_1/ch1_d1.rpy	50	jen "[what]"
ch1_d1_d36b8cd9	jen	Why don't you introduce yourself?	game/script/main_story/chapter_1/ch1_d1.rpy	51	jen "[what]"
ch1_d1_26fff33f	hareka	Hello. My name is Hareka Kiratani.	game/script/main_story/chapter_1/ch1_d1.rpy	54	hareka "[what]"
ch1_d1_a669cf86		Hushed whispers fill the room.	game/script/main_story/chapter_1/ch1_d1.rpy	56	"[what]"
ch1_d1_d9b13370		I can't stop staring at her.	game/script/main_story/chapter_1/ch1_d1.rpy	57	"[what]"
ch1_d1_92302eaa		She's so...	game/script/main_story/chapter_1/ch1_d1.rpy	58	"[what]"
ch1_d1_05b3700b	jen	You can sit in the middle there, next to Alexander.	game/script/main_story/chapter_1/ch1_d1.rpy	60	jen "[what]"
ch1_d1_b5a907bb		WHAT-	game/script/main_story/chapter_1/ch1_d1.rpy	62	"[what]"
ch1_d1_0810f151	hareka	Okay.	game/script/main_story/chapter_1/ch1_d1.rpy	64	hareka "[what]"
ch1_d1_f50dfdaa		Hareka heads to the seat next to me.	game/script/main_story/chapter_1/ch1_d1.rpy	68	"[what]"
ch1_d1_1eb23017	mc	H-Hello...	game/script/main_story/chapter_1/ch1_d1.rpy	70	mc "[what]"
ch1_d1_f51ebaf7	hareka	Hello.	game/script/main_story/chapter_1/ch1_d1.rpy	73	hareka "[what]"
